,line,location,language,original_comment,new_line,trigram,comment length,value,category,keywords,description,length,prediction
10,"['correct', 'check', 'increas', 'sever']",/Users/rubber/fenix/app/lint.xml: 67,xml,Correctness: checks with increased severity  ,correct check increas sever,"[('correct', 'check', 'increas'), ('check', 'increas', 'sever')]",4,['obeys responsible'],['Benevolence'],['check'],conforms with value,4,
11,"['trust', 'web', 'activ', 'current', 'sup', 'port', 'nightli']",/Users/rubber/fenix/app/src/nightly/AndroidManifest.xml: 8,xml,Trusted Web Activities are currently only supported in nightly.  ,trust web activ current sup port nightli,"[('trust', 'web', 'activ'), ('web', 'activ', 'current'), ('activ', 'current', 'support'), ('current', 'support', 'nightli')]",6,"['obeys healthy', 'obeys helpful', 'obeys equality']","['Security', 'Benevolence', 'Universalism']","['support', 'support', 'support']",conforms with value,7, universalism
12,"['need', 'prompt', 'user', 'give', 'permiss', 'instal', 'load', 'apk']",/Users/rubber/fenix/app/src/main/AndroidManifest.xml: 18,xml,Needed to prompt the user to give permission to install a downloaded apk  ,need prompt user give permiss instal load apk,"[('need', 'prompt', 'user'), ('prompt', 'user', 'give'), ('user', 'give', 'permiss'), ('give', 'permiss', 'instal'), ('permiss', 'instal', 'download'), ('instal', 'download', 'apk')]",8,['obeys privacy'],['Self_direction'],['permiss'],conforms with value,8, power
13,"['inherit', 'entri', 'applic', 'id', 'app', 'fennec', 'need', 'keep', 'main', 'launcher', 'avoid', 'launcher', 'icon', 'home', 'screen', 'disappear', 'user', 'note', 'fennec', 'build', 'type', 'overrid', 'targ', 'tactiv', 'properti', 'manifest', 'insid', 'sourc', 'set']",/Users/rubber/fenix/app/src/main/AndroidManifest.xml: 43,xml,We inherited this entry (${applicationId}.App) from Fennec. We need to keep this as our           main launcher to avoid launcher icons on the home screen disappearing for all our users.            Note that `fennec*` build types override the targetActivity property in the Manifest           inside their source set.         ,inherit entri applic id app fennec need keep main launcher avoid launcher icon home screen disappear user note fennec build type overrid targ tactiv properti manifest insid sourc set,"[('inherit', 'entri', 'applicationidapp'), ('entri', 'applicationidapp', 'fennec'), ('applicationidapp', 'fennec', 'need'), ('fennec', 'need', 'keep'), ('need', 'keep', 'main'), ('keep', 'main', 'launcher'), ('main', 'launcher', 'avoid'), ('launcher', 'avoid', 'launcher'), ('avoid', 'launcher', 'icon'), ('launcher', 'icon', 'home'), ('icon', 'home', 'screen'), ('home', 'screen', 'disappear'), ('screen', 'disappear', 'user'), ('disappear', 'user', 'note'), ('user', 'note', 'fennec'), ('note', 'fennec', 'build'), ('fennec', 'build', 'type'), ('build', 'type', 'overrid'), ('type', 'overrid', 'targetact'), ('overrid', 'targetact', 'properti'), ('targetact', 'properti', 'manifest'), ('properti', 'manifest', 'insid'), ('manifest', 'insid', 'sourc'), ('insid', 'sourc', 'set')]",26,"['obeys choosing own goals', 'obeys wealth']","['self-direction', 'Power']","['overrid', 'keep', 'properti']",conforms with value,29, self-direction
14,"['fennec', 'declar', 'entri', 'home', 'screen', 'pin', 'short', 'cut']",/Users/rubber/fenix/app/src/main/AndroidManifest.xml: 60,xml,Fennec declared entry for homescreen pinned shortcuts.         ,fennec declar entri home screen pin short cut,"[('fennec', 'declar', 'entri'), ('declar', 'entri', 'homescreen'), ('entri', 'homescreen', 'pin'), ('homescreen', 'pin', 'shortcut')]",6,['obeys pleasure'],['Hedonism'],['shortcut'],conforms with value,8,
15,"['app', 'name', 'privat', 'brows', 'mode', 'first', 'paramet', 'name', 'app', 'defin', 'app', 'name', 'exampl', 'fenix']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 4,xml,App name for private browsing mode. The first parameter is the name of the app defined in app_name (for example: Fenix) ,app name privat brows mode first paramet name app defin app name exampl fenix,"[('app', 'name', 'privat'), ('name', 'privat', 'brows'), ('privat', 'brows', 'mode'), ('brows', 'mode', 'first'), ('mode', 'first', 'paramet'), ('first', 'paramet', 'name'), ('paramet', 'name', 'app'), ('name', 'app', 'defin'), ('app', 'defin', 'appnam'), ('defin', 'appnam', 'exampl'), ('appnam', 'exampl', 'fenix')]",13,['obeys curious'],['Self_direction'],['exampl'],conforms with value,14,
16,"['home', 'fragment', 'content', 'descript', 'visibl', 'screen', 'reader', 'etc', 'three', 'dot', 'menu', 'button']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 10,xml,"Home Fragment  Content description (not visible, for screen readers etc.): ""Three dot"" menu button.  ",home fragment content descript visibl screen reader etc three dot menu button,"[('home', 'fragment', 'content'), ('fragment', 'content', 'descript'), ('content', 'descript', 'visibl'), ('descript', 'visibl', 'screen'), ('visibl', 'screen', 'reader'), ('screen', 'reader', 'etc'), ('reader', 'etc', 'three'), ('etc', 'three', 'dot'), ('three', 'dot', 'menu'), ('dot', 'menu', 'button')]",12,"['violates privacy', 'obeys pleasure']","['Self_direction', 'Hedonism']","['visibl', 'content', 'visibl']",conforms with value,12,
17,"['content', 'descript', 'visibl', 'screen', 'reader', 'etc', 'privat', 'brows', 'menu', 'button']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 12,xml,"Content description (not visible, for screen readers etc.): ""Private Browsing"" menu button.  ",content descript visibl screen reader etc privat brows menu button,"[('content', 'descript', 'visibl'), ('descript', 'visibl', 'screen'), ('visibl', 'screen', 'reader'), ('screen', 'reader', 'etc'), ('reader', 'etc', 'privat'), ('etc', 'privat', 'brows'), ('privat', 'brows', 'menu'), ('brows', 'menu', 'button')]",10,"['violates privacy', 'obeys pleasure']","['Self_direction', 'Hedonism']","['visibl', 'content', 'visibl']",conforms with value,10,
18,"['messag', 'announc', 'user', 'tab', 'tray', 'select', 'number', 'tab']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 24,xml,Message announced to the user when tab tray is selected with 1 tab  ,messag announc user tab tray select number tab,"[('messag', 'announc', 'user'), ('announc', 'user', 'tab'), ('user', 'tab', 'tray'), ('tab', 'tray', 'select'), ('tray', 'select', '1'), ('select', '1', 'tab')]",8,"['obeys choice', 'obeys pleasure']","['Self_direction', 'Hedonism']","['select', 'select']",conforms with value,8,
19,"['messag', 'announc', 'user', 'tab', 'tray', 'select', 'number', 'number', 'tab']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 26,xml,Message announced to the user when tab tray is selected with 0 or 2+ tabs  ,messag announc user tab tray select number number tab,"[('messag', 'announc', 'user'), ('announc', 'user', 'tab'), ('user', 'tab', 'tray'), ('tab', 'tray', 'select'), ('tray', 'select', '0'), ('select', '0', '2'), ('0', '2', 'tab')]",9,"['obeys choice', 'obeys pleasure']","['Self_direction', 'Hedonism']","['select', 'select']",conforms with value,9,
20,"['tab', 'tray', 'multi', 'select', 'titl', 'app', 'bar', 'first', 'paramet', 'number', 'tab', 'select']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 29,xml,Tab tray multi select title in app bar. The first parameter is the number of tabs selected  ,tab tray multi select titl app bar first paramet number tab select,"[('tab', 'tray', 'multi'), ('tray', 'multi', 'select'), ('multi', 'select', 'titl'), ('select', 'titl', 'app'), ('titl', 'app', 'bar'), ('app', 'bar', 'first'), ('bar', 'first', 'paramet'), ('first', 'paramet', 'number'), ('paramet', 'number', 'tab'), ('number', 'tab', 'select')]",12,"['obeys choice', 'obeys pleasure']","['Self_direction', 'Hedonism']","['select', 'select', 'select', 'select']",conforms with value,12,
21,"['label', 'button', 'save', 'collect', 'dialog', 'select', 'current', 'collect']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 35,xml,Label of button in save to collection dialog for selecting a current collection   ,label button save collect dialog select current collect,"[('label', 'button', 'save'), ('button', 'save', 'collect'), ('save', 'collect', 'dialog'), ('collect', 'dialog', 'select'), ('dialog', 'select', 'current'), ('select', 'current', 'collect')]",8,"['obeys choice', 'obeys pleasure']","['Self_direction', 'Hedonism']","['select', 'select']",conforms with value,8,
22,"['content', 'descript', 'close', 'button', 'multi', 'select', 'mode', 'tab', 'tray']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 37,xml,Content description for close button while in multiselect mode in tab tray  ,content descript close button multi select mode tab tray,"[('content', 'descript', 'close'), ('descript', 'close', 'button'), ('close', 'button', 'multiselect'), ('button', 'multiselect', 'mode'), ('multiselect', 'mode', 'tab'), ('mode', 'tab', 'tray')]",8,['obeys pleasure'],['Hedonism'],['content'],conforms with value,9,
23,"['content', 'descript', 'save', 'collect', 'button', 'multi', 'select', 'mode', 'tab', 'tray']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 39,xml,Content description for save to collection button while in multiselect mode in tab tray  ,content descript save collect button multi select mode tab tray,"[('content', 'descript', 'save'), ('descript', 'save', 'collect'), ('save', 'collect', 'button'), ('collect', 'button', 'multiselect'), ('button', 'multiselect', 'mode'), ('multiselect', 'mode', 'tab'), ('mode', 'tab', 'tray')]",9,['obeys pleasure'],['Hedonism'],['content'],conforms with value,10,
24,"['content', 'descript', 'check', 'mark', 'tab', 'select', 'multi', 'select', 'mode', 'tab', 'tray', 'first', 'paramet', 'titl', 'tab', 'select']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 41,xml,Content description for checkmark while tab is selected while in multiselect mode in tab tray. The first parameter is the title of the tab selected  ,content descript check mark tab select multi select mode tab tray first paramet titl tab select,"[('content', 'descript', 'checkmark'), ('descript', 'checkmark', 'tab'), ('checkmark', 'tab', 'select'), ('tab', 'select', 'multiselect'), ('select', 'multiselect', 'mode'), ('multiselect', 'mode', 'tab'), ('mode', 'tab', 'tray'), ('tab', 'tray', 'first'), ('tray', 'first', 'paramet'), ('first', 'paramet', 'titl'), ('paramet', 'titl', 'tab'), ('titl', 'tab', 'select')]",14,"['obeys choice', 'obeys pleasure']","['Self_direction', 'Hedonism']","['select', 'select', 'content', 'select', 'select']",conforms with value,16,
25,"['content', 'descript', 'tab', 'unselect', 'multi', 'select', 'mode', 'tab', 'tray', 'first', 'paramet', 'titl', 'tab', 'unselect']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 43,xml,Content description when tab is unselected while in multiselect mode in tab tray. The first parameter is the title of the tab unselected  ,content descript tab unselect multi select mode tab tray first paramet titl tab unselect,"[('content', 'descript', 'tab'), ('descript', 'tab', 'unselect'), ('tab', 'unselect', 'multiselect'), ('unselect', 'multiselect', 'mode'), ('multiselect', 'mode', 'tab'), ('mode', 'tab', 'tray'), ('tab', 'tray', 'first'), ('tray', 'first', 'paramet'), ('first', 'paramet', 'titl'), ('paramet', 'titl', 'tab'), ('titl', 'tab', 'unselect')]",13,['obeys pleasure'],['Hedonism'],['content'],conforms with value,14,
26,"['content', 'descript', 'announc', 'exit', 'multi', 'select', 'mode', 'tab', 'tray']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 45,xml,Content description announcement when exiting multiselect mode in tab tray  ,content descript announc exit multi select mode tab tray,"[('content', 'descript', 'announc'), ('descript', 'announc', 'exit'), ('announc', 'exit', 'multiselect'), ('exit', 'multiselect', 'mode'), ('multiselect', 'mode', 'tab'), ('mode', 'tab', 'tray')]",8,['obeys pleasure'],['Hedonism'],['content'],conforms with value,9,
27,"['content', 'descript', 'announc', 'enter', 'multi', 'select', 'mode', 'tab', 'tray']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 47,xml,Content description announcement when entering multiselect mode in tab tray  ,content descript announc enter multi select mode tab tray,"[('content', 'descript', 'announc'), ('descript', 'announc', 'enter'), ('announc', 'enter', 'multiselect'), ('enter', 'multiselect', 'mode'), ('multiselect', 'mode', 'tab'), ('mode', 'tab', 'tray')]",8,['obeys pleasure'],['Hedonism'],['content'],conforms with value,9,
28,"['content', 'descript', 'check', 'mark', 'tab', 'select', 'multi', 'select', 'mode', 'tab', 'tray']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 49,xml,Content description on checkmark while tab is selected in multiselect mode in tab tray  ,content descript check mark tab select multi select mode tab tray,"[('content', 'descript', 'checkmark'), ('descript', 'checkmark', 'tab'), ('checkmark', 'tab', 'select'), ('tab', 'select', 'multiselect'), ('select', 'multiselect', 'mode'), ('multiselect', 'mode', 'tab'), ('mode', 'tab', 'tray')]",9,"['obeys choice', 'obeys pleasure']","['Self_direction', 'Hedonism']","['select', 'content', 'select']",conforms with value,11,
29,"['content', 'descript', 'recent', 'save', 'bookmark', 'section', 'home', 'screen']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 59,xml,Content description for the recently saved bookmarks section on the home screen.  ,content descript recent save bookmark section home screen,"[('content', 'descript', 'recent'), ('descript', 'recent', 'save'), ('recent', 'save', 'bookmark'), ('save', 'bookmark', 'section'), ('bookmark', 'section', 'home'), ('section', 'home', 'screen')]",8,['obeys pleasure'],['Hedonism'],['content'],conforms with value,8,
30,"['content', 'descript', 'button', 'navig', 'user', 'show', 'save', 'bookmark']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 63,xml,Content description for the button which navigates the user to show all of their saved bookmarks.  ,content descript button navig user show save bookmark,"[('content', 'descript', 'button'), ('descript', 'button', 'navig'), ('button', 'navig', 'user'), ('navig', 'user', 'show'), ('user', 'show', 'save'), ('show', 'save', 'bookmark')]",8,['obeys pleasure'],['Hedonism'],['content'],conforms with value,8,
31,"['content', 'first', 'paramet', 'name', 'applic', 'exampl', 'fenix']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 66,xml,About content. The first parameter is the name of the application. (For example: Fenix)  ,content first paramet name applic exampl fenix,"[('content', 'first', 'paramet'), ('first', 'paramet', 'name'), ('paramet', 'name', 'applic'), ('name', 'applic', 'exampl'), ('applic', 'exampl', 'fenix')]",7,"['obeys curious', 'obeys pleasure']","['Self_direction', 'Hedonism']","['exampl', 'content']",conforms with value,7,
32,"['explan', 'privat', 'brows', 'display', 'user', 'home', 'view', 'first', 'enabl', 'privat', 'mode', 'first', 'paramet', 'name', 'app', 'defin', 'app', 'name', 'exampl', 'fenix']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 73,xml,Explanation for private browsing displayed to users on home view when they first enable private mode         The first parameter is the name of the app defined in app_name (for example: Fenix) ,explan privat brows display user home view first enabl privat mode first paramet name app defin app name exampl fenix,"[('explan', 'privat', 'brows'), ('privat', 'brows', 'display'), ('brows', 'display', 'user'), ('display', 'user', 'home'), ('user', 'home', 'view'), ('home', 'view', 'first'), ('view', 'first', 'enabl'), ('first', 'enabl', 'privat'), ('enabl', 'privat', 'mode'), ('privat', 'mode', 'first'), ('mode', 'first', 'paramet'), ('first', 'paramet', 'name'), ('paramet', 'name', 'app'), ('name', 'app', 'defin'), ('app', 'defin', 'appnam'), ('defin', 'appnam', 'exampl'), ('appnam', 'exampl', 'fenix')]",19,['obeys curious'],['Self_direction'],['exampl'],conforms with value,20,
33,"['delet', 'session', 'button', 'eras', 'histori', 'privat', 'session']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 78,xml,Delete session button to erase your history in a private session  ,delet session button eras histori privat session,"[('delet', 'session', 'button'), ('session', 'button', 'eras'), ('button', 'eras', 'histori'), ('eras', 'histori', 'privat'), ('histori', 'privat', 'session')]",7,['obeys privacy'],['Self_direction'],['histori'],conforms with value,7,
34,"['privat', 'mode', 'short', 'cut', 'contextu', 'featur', 'recommend', 'cfr', 'text', 'main', 'messag']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 82,xml,"Private mode shortcut ""contextual feature recommendation"" (CFR)  Text for the main message  ",privat mode short cut contextu featur recommend cfr text main messag,"[('privat', 'mode', 'shortcut'), ('mode', 'shortcut', 'contextu'), ('shortcut', 'contextu', 'featur'), ('contextu', 'featur', 'recommend'), ('featur', 'recommend', 'cfr'), ('recommend', 'cfr', 'text'), ('cfr', 'text', 'main'), ('text', 'main', 'messag')]",10,['obeys pleasure'],['Hedonism'],['shortcut'],conforms with value,11,
35,"['text', 'info', 'dialog', 'camera', 'permiss', 'deni', 'user', 'tri', 'access', 'camera', 'featur']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 98,xml,Text for the info dialog when camera permissions have been denied but user tries to access a camera feature.  ,text info dialog camera permiss deni user tri access camera featur,"[('text', 'info', 'dialog'), ('info', 'dialog', 'camera'), ('dialog', 'camera', 'permiss'), ('camera', 'permiss', 'deni'), ('permiss', 'deni', 'user'), ('deni', 'user', 'tri'), ('user', 'tri', 'access'), ('tri', 'access', 'camera'), ('access', 'camera', 'featur')]",11,"['obeys privacy', 'violates security']","['Self_direction', 'Security']","['permiss', 'access']","conforms with value, value violation",11, power
36,"['text', 'posit', 'action', 'button', 'go', 'android', 'set', 'grant', 'permiss']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 100,xml,Text for the positive action button to go to Android Settings to grant permissions.  ,text posit action button go android set grant permiss,"[('text', 'posit', 'action'), ('posit', 'action', 'button'), ('action', 'button', 'go'), ('button', 'go', 'android'), ('go', 'android', 'set'), ('android', 'set', 'grant'), ('set', 'grant', 'permiss')]",9,['obeys privacy'],['Self_direction'],['permiss'],conforms with value,9, power
37,"['content', 'descript', 'close', 'button', 'auto', 'close', 'dialog', 'inact', 'tab']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 122,xml,Content description for close button in the autoclose dialog of the inactive tabs.  ,content descript close button auto close dialog inact tab,"[('content', 'descript', 'close'), ('descript', 'close', 'button'), ('close', 'button', 'autoclos'), ('button', 'autoclos', 'dialog'), ('autoclos', 'dialog', 'inact'), ('dialog', 'inact', 'tab')]",8,['obeys pleasure'],['Hedonism'],['content'],conforms with value,9,
38,"['home', 'screen', 'icon', 'long', 'press', 'short', 'cut', 'short', 'cut', 'action', 'open', 'new', 'tab']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 132,xml,Home screen icons  Long press shortcuts  Shortcut action to open new tab  ,home screen icon long press short cut short cut action open new tab,"[('home', 'screen', 'icon'), ('screen', 'icon', 'long'), ('icon', 'long', 'press'), ('long', 'press', 'shortcut'), ('press', 'shortcut', 'shortcut'), ('shortcut', 'shortcut', 'action'), ('shortcut', 'action', 'open'), ('action', 'open', 'new'), ('open', 'new', 'tab')]",11,['obeys pleasure'],['Hedonism'],"['shortcut', 'shortcut']",conforms with value,13,
39,"['short', 'cut', 'action', 'open', 'new', 'privat', 'tab']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 134,xml,Shortcut action to open new private tab  ,short cut action open new privat tab,"[('shortcut', 'action', 'open'), ('action', 'open', 'new'), ('open', 'new', 'privat'), ('new', 'privat', 'tab')]",6,['obeys pleasure'],['Hedonism'],['shortcut'],conforms with value,7,
40,"['content', 'descript', 'button', 'navig', 'user', 'show', 'recent', 'tab', 'tab', 'tray']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 146,xml,Content description for the button which navigates the user to show all recent tabs in the tabs tray.  ,content descript button navig user show recent tab tab tray,"[('content', 'descript', 'button'), ('descript', 'button', 'navig'), ('button', 'navig', 'user'), ('navig', 'user', 'show'), ('user', 'show', 'recent'), ('show', 'recent', 'tab'), ('recent', 'tab', 'tab'), ('tab', 'tab', 'tray')]",10,['obeys pleasure'],['Hedonism'],['content'],conforms with value,10,
41,"['titl', 'show', 'group', 'item', 'jump', 'back', 'section', 'new', 'tab', 'first', 'paramet', 'search', 'term', 'user', 'use', 'exampl', 'search', 'cat']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 149,xml,"Title for showing a group item in the 'Jump back in' section of the new tab         The first parameter is the search term that the user used. (for example: your search for ""cat"")",titl show group item jump back section new tab first paramet search term user use exampl search cat,"[('titl', 'show', 'group'), ('show', 'group', 'item'), ('group', 'item', 'jump'), ('item', 'jump', 'back'), ('jump', 'back', 'section'), ('back', 'section', 'new'), ('section', 'new', 'tab'), ('new', 'tab', 'first'), ('tab', 'first', 'paramet'), ('first', 'paramet', 'search'), ('paramet', 'search', 'term'), ('search', 'term', 'user'), ('term', 'user', 'use'), ('user', 'use', 'exampl'), ('use', 'exampl', 'search'), ('exampl', 'search', 'cat')]",18,['obeys curious'],['Self_direction'],['exampl'],conforms with value,18,
42,"['histori', 'metad', 'ata', 'header', 'text', 'section', 'home', 'screen', 'display', 'group', 'highlight']",/Users/rubber/fenix/app/src/main/res/values-sv-rSE/strings.xml: 160,xml,History Metadata  Header text for a section on the home screen that displays grouped highlights from the ,histori metad ata header text section home screen display group highlight,"[('histori', 'metadata', 'header'), ('metadata', 'header', 'text'), ('header', 'text', 'section'), ('text', 'section', 'home'), ('section', 'home', 'screen'), ('home', 'screen', 'display'), ('screen', 'display', 'group'), ('display', 'group', 'highlight')]",10,['obeys privacy'],['Self_direction'],['histori'],conforms with value,11,
